rsvp_no,time,institution,status
471,2019-04-10 15:56:00,Mount Sinai,Attending
472,2019-04-10 16:04:00,Other,Checked In
473,2019-04-10 16:30:00,Columbia,Attending
474,2019-04-10 17:08:00,Einstein,Attending
475,2019-04-10 17:38:00,Rockefeller,Attending
476,2019-04-10 18:14:00,Other,Checked In
477,2019-04-10 18:18:00,Rutgers,Attending
478,2019-04-10 18:28:00,Weill Cornell,Attending
479,2019-04-10 19:17:00,Mount Sinai,Checked In
480,2019-04-10 20:09:00,Non-academic Institution,Attending
481,2019-04-10 22:12:00,Mount Sinai,Checked In
482,2019-04-10 22:47:00,Columbia,Attending
483,2019-04-10 23:32:00,Mount Sinai,Checked In
484,2019-04-11 09:49:00,Mount Sinai,Checked In
485,2019-04-11 09:55:00,Non-academic Institution,Checked In
486,2019-04-11 10:20:00,Mount Sinai,Attending
487,2019-04-11 10:33:00,Non-academic Institution,Attending
488,2019-04-11 10:53:00,Einstein,Checked In
489,2019-04-11 11:41:00,Columbia,Attending
490,2019-04-11 12:24:00,CUNY,Attending
491,2019-04-11 12:36:00,Other,Attending
492,2019-04-11 12:44:00,Non-academic Institution,Attending
493,2019-04-11 12:45:00,NYU,Attending
494,2019-04-11 12:47:00,Non-academic Institution,Attending
495,2019-04-11 13:14:00,CUNY,Checked In
496,2019-04-11 13:20:00,NYU,Attending
497,2019-04-11 14:40:00,Non-academic Institution,Checked In
498,2019-04-11 15:00:00,CUNY,Checked In
499,2019-04-11 15:21:00,Other,Checked In
500,2019-04-11 15:37:00,Other,Checked In
501,2019-04-11 16:21:00,Einstein,Attending
502,2019-04-11 18:40:00,NYU,Checked In
503,2019-04-11 20:01:00,Columbia,Attending
504,2019-04-11 22:22:00,NYU,Checked In
505,2019-04-11 22:35:00,Weill Cornell,Attending
506,2019-04-11 22:59:00,Weill Cornell,Checked In
507,2019-04-12 00:49:00,Other,Checked In
508,2019-04-12 07:10:00,Weill Cornell,Attending
509,2019-04-12 09:47:00,NYU,Attending
510,2019-04-12 10:17:00,NYU,Checked In
511,2019-04-12 11:35:00,CUNY,Attending
512,2019-04-12 12:41:00,Other,Attending
513,2019-04-12 12:44:00,CUNY,Attending
514,2019-04-12 13:44:00,Mount Sinai,Checked In
515,2019-04-12 14:03:00,CUNY,Checked In
516,2019-04-12 14:08:00,CUNY,Checked In
517,2019-04-12 14:33:00,Einstein,Attending
518,2019-04-12 14:54:00,Non-academic Institution,Checked In
519,2019-04-12 15:14:00,Other,Attending
520,2019-04-12 15:44:00,Non-academic Institution,Checked In
521,2019-04-12 17:35:00,Rutgers,Attending
522,2019-04-12 17:36:00,Rockefeller,Checked In
523,2019-04-12 17:49:00,Other,Attending
524,2019-04-12 18:00:00,Other,Checked In
525,2019-04-12 22:16:00,NYU,Checked In
526,2019-04-13 00:03:00,Columbia,Attending
527,2019-04-13 01:52:00,MSKCC,Checked In
528,2019-04-13 03:21:00,Columbia,Attending
529,2019-04-13 08:03:00,Columbia,Attending
530,2019-04-13 09:49:00,Fordham,Checked In
531,2019-04-13 10:15:00,Other,Attending
533,2019-04-13 22:57:00,Columbia,Checked In
534,2019-04-14 01:32:00,Non-academic Institution,Attending
535,2019-04-14 20:46:00,Non-academic Institution,Attending
536,2019-04-15 00:16:00,SUNY (Downstate),Checked In
537,2019-04-15 09:54:00,Rutgers,Attending
538,2019-04-15 11:08:00,Columbia,Attending
539,2019-04-15 11:11:00,Columbia,Attending
540,2019-04-15 11:12:00,Columbia,Checked In
541,2019-04-15 11:13:00,Columbia,Checked In
542,2019-04-15 11:25:00,Columbia,Checked In
543,2019-04-15 11:42:00,Columbia,Checked In
544,2019-04-15 12:03:00,Columbia,Checked In
545,2019-04-15 12:10:00,SUNY (Stony Brook),Checked In
546,2019-04-15 12:12:00,Columbia,Attending
547,2019-04-15 12:30:00,Columbia,Attending
548,2019-04-15 12:36:00,Rutgers,Attending
549,2019-04-15 12:58:00,Columbia,Attending
550,2019-04-15 13:37:00,Other,Attending
551,2019-04-15 13:45:00,Columbia,Attending
552,2019-04-15 14:32:00,Other,Checked In
553,2019-04-15 14:53:00,Columbia,Checked In
554,2019-04-15 15:55:00,Columbia,Attending
555,2019-04-15 15:55:00,Rutgers,Attending
556,2019-04-15 17:14:00,Columbia,Attending
557,2019-04-15 19:24:00,Other,Checked In
558,2019-04-15 20:34:00,Yeshiva,Checked In
559,2019-04-16 08:55:00,Weill Cornell,Attending
560,2019-04-16 09:23:00,MSKCC,Attending
561,2019-04-16 10:15:00,Columbia,Attending
562,2019-04-16 10:20:00,Columbia,Checked In
