,time,institution
443,2019-04-09 16:22:00,Other
444,2019-04-09 17:35:00,CUNY
445,2019-04-09 18:40:00,Other
446,2019-04-09 21:44:00,NYU
447,2019-04-10 09:43:00,Non-academic Institution
448,2019-04-10 10:18:00,Einstein
449,2019-04-10 11:06:00,NYU
450,2019-04-10 12:08:00,NYU
451,2019-04-10 12:12:00,NYU
452,2019-04-10 12:12:00,NYU
453,2019-04-10 12:15:00,NYU
454,2019-04-10 12:23:00,NYU
455,2019-04-10 12:38:00,NYU
456,2019-04-10 12:51:00,NYU
457,2019-04-10 12:57:00,NYU
458,2019-04-10 13:01:00,NYU
459,2019-04-10 13:04:00,NYU
460,2019-04-10 13:09:00,NYU
461,2019-04-10 13:10:00,NYU
462,2019-04-10 13:17:00,NYU
463,2019-04-10 13:32:00,NYU
464,2019-04-10 13:38:00,Einstein
465,2019-04-10 13:52:00,NYU
466,2019-04-10 14:05:00,MSKCC
467,2019-04-10 14:20:00,NYU
468,2019-04-10 14:33:00,NYU
469,2019-04-10 15:05:00,Einstein
470,2019-04-10 15:16:00,NYU
471,2019-04-10 15:40:00,NYU
472,2019-04-10 15:51:00,NYU
473,2019-04-10 15:54:00,NYU
474,2019-04-10 15:56:00,Mount Sinai
475,2019-04-10 16:04:00,Other
476,2019-04-10 16:30:00,Columbia
477,2019-04-10 17:08:00,Einstein
478,2019-04-10 17:38:00,Rockefeller
479,2019-04-10 18:14:00,Other
480,2019-04-10 18:18:00,Rutgers
481,2019-04-10 18:28:00,Weill Cornell
482,2019-04-10 19:17:00,Mount Sinai
483,2019-04-10 20:09:00,Non-academic Institution
484,2019-04-10 22:12:00,Mount Sinai
485,2019-04-10 22:47:00,Columbia
486,2019-04-10 23:32:00,Mount Sinai
487,2019-04-11 09:49:00,Mount Sinai
488,2019-04-11 09:55:00,Non-academic Institution
489,2019-04-11 10:20:00,Mount Sinai
